,119739
cozend,12
cozened,3
cozener,1
cozeners,3
cozengermans,1
cozening,4
coziers,1
coznage,1
crab,11
crabbed,3
crabs,3
crabtree,2
crack,29
crackd,18
cracked,1
cracker,1
crackhemp,1
cracking,5
cracks,4
cradle,14
cradlebabe,1
cradled,1
cradles,3
craft,19
crafted,1
craftier,1
craftily,2
crafts,4
craftsmen,1
crafty,11
craftysick,1
cram,5
crammd,8
cramp,3
cramps,3
crams,2
cranking,1
cranks,1
cranmer,35
cranmers,1
crannied,1
crannies,1
cranny,2
crants,1
crare,1
crash,1
crassus,3
cravd,2
crave,42
craved,1
craven,4
cravens,2
craves,23
craveth,1
craving,4
crawl,2
crawld,1
crawling,2
crawls,1
crazd,2
crazed,2
crazy,1
creaking,2
cream,5
creamfaced,1
create,22
created,19
creates,1
creating,9
creation,11
creator,1
creators,1
creature,67
creatures,41
credence,3
credent,4
credible,1
credit,52
creditor,6
creditors,8
credo,4
credulity,1
credulous,8
creed,1
creek,1
creeks,1
creep,26
creeping,8
creeps,5
crept,15
crescent,4
crescive,1
cressets,1
cressid,33
cressida,179
cressidas,1
cressids,6
cressy,1
crest,21
crested,1
crestfallen,1
crestfalln,2
crestless,1
crests,4
cretan,1
crete,5
crevice,1
crew,10
crews,1
crib,1
cribbd,1
cribs,1
cricket,1
crickets,5
cried,69
criedst,2
crier,7
cries,63
criest,2
crieth,1
crime,12
crimeful,1
crimeless,1
crimes,17
criminal,3
crimson,11
crimsond,1
cringe,1
cripple,5
crisp,3
crisped,1
crispian,4
crispians,1
crispianus,1
crispin,2
crispins,1
critic,3
critical,3
critics,1
croak,2
croaking,1
croaks,1
crocodile,5
cromer,1
cromwell,44
crone,1
crook,1
crookback,3
crookd,3
crooked,13
crookedpated,1
crookkneed,1
crop,9
cropear,1
croppd,7
crosby,3
cross,63
crossbow,1
crossbows,2
crossd,23
crossed,1
crosses,8
crossest,1
crossgarterd,8
crossgartering,1
crossing,5
crossings,1
crossly,1
crossness,1
crossrow,1
crossways,1
crost,1
crotchets,4
crouch,3
crouching,1
crow,29
crowd,6
crowded,1
crowding,2
crowds,1
crowflowers,1
crowing,2
crowkeeper,2
crown,257
crownd,39
crowned,21
crowner,2
crowners,1
crownet,1
crownets,2
crownimperial,1
crowning,2
crownmeaning,1
crowns,62
crows,17
crudy,1
cruel,70
cruelhearted,1
crueller,1
cruellst,1
cruelly,4
cruels,1
cruelty,21
crum,1
crumble,1
crumbs,1
crupper,3
crusadoes,1
crush,12
crushd,4
crushed,1
crushest,1
crushing,1
crust,4
crusts,1
crusty,1
crutch,11
crutches,4
cry,215
crying,34
crystal,12
crystalbutton,1
crystalline,1
crystals,1
cs,2
cub,1
cubdrawn,1
cubiculo,1
cubit,1
cubs,1
cuckold,28
cuckolda,1
cuckoldly,4
cuckoldmad,1
cuckoldmaker,2
cuckolds,7
cuckoo,20
cuckoobuds,1
cuckoos,1
cucullus,2
cudgel,16
cudgeled,1
cudgelld,5
cudgelling,1
cudgels,2
cue,12
cues,1
cuff,5
cuffs,2
cuique,1
cull,5
culld,7
culling,2
cullion,1
cullionly,1
cullions,2
culpable,1
culverin,1
cum,3
cumber,2
cumberland,4
cunning,75
cunningly,4
cunnings,1
cunningst,1
cuore,1
cup,47
cupbearer,2
cupboarding,1
cupid,40
cupids,20
cuppele,1
cups,9
cur,36
curan,3
curate,5
curb,10
curbd,3
curbed,1
curbing,1
curbs,4
curd,11
curdied,1
curds,3
cure,55
cured,4
cureless,2
curer,3
cures,8
curfew,4
curing,2
curio,13
curiosity,4
curious,12
curiousknotted,1
curiously,4
curl,1
curld,3
curldpate,1
curled,3
curling,1
curls,4
currance,1
currants,1
current,26
currents,6
currish,5
curry,1
curs,14
cursd,16
curse,99
cursed,31
cursedst,1
curseon,1
curses,29
curseso,1
cursies,2
cursing,6
cursorary,1
curst,26
curster,1
curstest,1
curstness,1
cursy,3
curtail,1
curtaild,1
curtain,15
curtaind,2
curtains,9
curtal,3
curtis,29
curtleaxe,2
curtsied,1
curtsies,5
curtsy,16
curvet,1
curvets,1
cushes,1
cushion,7
cushions,7
custalorum,1
custard,1
custardcoffin,1
custody,3
custom,43
customary,6
customd,1
customed,1
customer,2
customers,3
customs,4
customshrunk,1
custure,1
cut,171
cutlers,1
cutpurse,5
cutpurses,1
cuts,15
cutst,1
cutter,1
cutteroff,1
cutthroat,1
cutthroats,1
cutting,8
cuttle,1
cxsars,1
cyclops,2
cydnus,3
cygnet,1
cygnets,2
cymbals,1
cymbeline,109
cymbelines,12
cyme,1
cynic,1
cynthias,1
cypress,6
cypriot,1
cyprus,28
cyrus,1
cytherea,2
cythereas,1
d,7
dabbled,1
dace,1
dad,3
daedalus,1
daemon,1
daff,1
daffd,2
daffed,1
daffest,1
daffodils,2
dafft,1
dagger,42
daggers,15
dagonet,1
daily,31
daintier,1
dainties,3
daintiest,2
daintily,2
daintiness,1
daintry,1
dainty,20
daisied,1
daisies,2
daisy,1
dale,6
dalea,1
dalliance,7
dallied,1
dallies,2
dally,11
dallying,2
dalmatians,2
dam,28
damage,6
damaged,2
damages,9
damascus,1
damask,5
damasked,1
dame,25
dames,10
dammd,2
damn,17
damnable,11
damnably,1
damnation,14
damnd,65
damned,44
damnedst,1
damns,1
damoiselle,1
damon,1
damosella,1
damp,2
dams,2
damsel,6
damsons,1
damst,1
dan,1
dancd,6
dance,71
dancer,2
dances,9
dancing,18
dancingschools,1
dandle,2
dane,9
danger,99
dangerous,99
dangerously,3
dangers,19
danglais,1
dangleterre,3
dangling,1
dangrous,1
daniel,6
danish,6
dank,5
dankish,1
danskers,1
daphne,2
daphnes,1
dappled,1
dapples,1
dapprendre,1
dard,8
dardan,2
dardanian,1
dardanius,8
dare,208
dared,1
dareful,1
dares,46
darest,6
daring,13
daringhardy,1
daringst,1
darius,1
dark,76
darken,3
darkening,1
darkens,1
darker,2
darkest,2
darkeyd,1
darkling,3
darkly,8
darkned,2
darkness,39
darkning,2
darkseated,1
darkworking,1
darling,5
darlings,2
darm,1
darma,1
darnel,2
darneldo,1
darraign,1
darst,42
darstthou,1
dart,7
darted,3
dartford,1
darting,1
darts,7
dash,10
dashd,7
dashes,2
dashing,2
dastard,6
dastards,2
dat,24
data,2
datchet,4
date,25
datebroke,1
dateless,4
dates,5
daub,3
daubd,1
daubry,1
daughter,410
daughterbeamed,1
daughterinlaw,3
daughters,78
daughterthou,1
daunt,2
daunted,3
dauntless,4
dauphin,102
dauphins,11
daventry,1
davy,44
davys,2
daw,2
dawn,2
dawning,6
daws,6
day,719
dayalack,1
daybed,1
daylight,12
days,234
daywearied,1
daywoman,1
dazzle,3
dazzled,2
dazzling,1
de,115
dead,530
deadand,1
deadkilling,1
deadly,49
deadlyhanded,1
deadlystanding,1
deaf,24
deafd,1
deafing,1
deafness,2
deafs,1
deal,53
dealer,1
dealers,1
dealest,1
dealing,12
dealings,3
deals,1
dealt,7
deanery,1
deanry,2
dear,447
deara,1
dearbelovd,1
dearbought,1
deard,1
dearer,23
dearest,55
dearestvalud,1
dearlovd,1
dearly,42
dearness,1
dearpurchased,1
dears,1
dearst,6
dearth,10
dearths,1
death,858
deathbed,9
deathcounterfeiting,1
deathdarting,1
deathful,1
deathmarkd,1
deathnow,1
deathpractisd,1
deaths,50
deathsbedgot,1
deathshead,3
deathsman,2
deathsmen,1
debarred,1
debase,3
debate,14
debated,3
debatement,2
debateth,1
debating,5
debauchd,2
debile,2
debility,1
debitor,2
debonair,1
deborah,1
deboshd,2
debt,42
debted,1
debtor,11
debtors,2
debts,16
debuty,1
decay,24
decayd,2
decayed,4
decayer,1
decaying,1
decays,4
deceasd,9
decease,6
deceased,5
deceit,19
deceitful,7
deceits,3
deceivable,2
deceivd,41
deceive,28
deceived,16
deceiver,1
deceivers,1
deceives,3
deceivest,1
deceiveth,1
deceiving,5
december,6
decembers,1
decent,1
deceptious,1
decerns,1
dechapper,1
decide,2
decides,1
decimation,1
decipher,1
decipherd,2
deciphers,1
decision,3
decius,26
deck,12
deckd,7
decking,1
decks,1
deckt,1
declare,7
declares,1
declension,2
declensions,1
declind,5
decline,9
declined,3
declines,4
declining,7
decoct,1
decorum,3
decreasd,1
decrease,2
decreasing,1
decree,11
decreed,7
decrees,12
decrepit,3
dedicate,8
dedicated,4
dedicates,2
dedication,3
deductible,1
deed,148
deedachieving,1
deedless,1
deeds,119
deem,10
deemd,2
deemed,2
deep,136
deepbrained,1
deepdivorcing,1
deepdrawing,1
deeper,12
deepest,6
deepfet,1
deepgreen,1
deeply,16
deepmouthd,3
deeprevolving,1
deeps,2
deepsearchd,1
deepsworn,1
deepvow,1
deer,37
deers,2
deesse,1
defacd,4
deface,4
defaced,1
defacer,1
defacers,1
defacing,1
defamd,1
default,4
defeat,13
defeated,4
defeats,1
defeatst,1
defeatures,2
defect,18
defective,9
defects,7
defence,37
defences,4
defend,66
defendant,5
defended,5
defender,2
defenders,1
defending,3
defends,2
defense,4
defensible,2
defensive,2
defer,2
deferrd,1
defiance,12
deficient,2
defied,4
defies,1
defild,6
defile,5
defiler,1
defiles,3
defiling,1
define,5
definement,1
definite,1
definitive,1
definitively,1
deflower,1
deflowerd,2
deflowered,2
deflowred,1
deform,1
deformd,4
deformed,13
deformedst,1
deformities,1
deformity,5
deftly,1
defunct,3
defunction,1
defuse,1
defy,28
defying,1
degenerate,11
degraded,2
degree,47
degrees,18
deified,1
deifying,1
deign,6
deigned,1
deiphobus,10
deities,4
deity,7
deja,1
deject,3
dejected,5
delabreth,2
delay,35
delayd,3
delayed,1
delaying,2
delays,7
delbow,7
delectable,2
deletions,1
deliberate,6
delicate,29
delicates,1
delicious,3
deliciousness,1
delight,56
delighted,6
delightful,4
delights,20
delinquents,1
deliver,100
deliverance,9
deliverd,37
delivered,29
delivering,4
delivers,10
delivert,1
delivery,4
delivred,1
delphos,3
deluded,1
deluding,2
deluge,2
delve,2
delver,1
delves,1
demand,61
demanded,8
demanding,2
demands,19
demean,2
demeand,3
demeanor,1
demeanour,3
demerits,3
demesnes,3
demetrius,166
demiatlas,1
demicannon,1
demicoronal,1
demidevil,2
demigod,3
deminaturd,1
demiparadise,1
demipuppets,1
demise,1
demiwolves,1
demoiselles,1
demon,1
demonstrable,1
demonstrate,5
demonstrated,1
demonstrating,1
demonstration,2
demonstrative,1
demure,3
demurely,2
demuring,1
den,14
denay,1
denayd,1
denial,9
denials,2
denid,1
denied,55
denier,3
denies,12
deniest,3
denis,4
denmark,23
denmarks,3
dennis,7
denny,9
denote,5
denoted,1
denotement,1
denouncd,2
denounce,1
denouncing,1
dens,2
denunciation,1
deny,133
denying,6
denyt,4
deo,1
depart,65
departed,6
departedst,1
departest,1
departing,4
departst,1
departure,20
depeche,1
depend,13
dependant,1
dependants,3
depended,1
dependence,1
dependency,3
dependent,1
dependents,1
depender,1
depending,8
depends,12
deplore,1
deploring,1
depopulate,1
deposd,19
depose,10
deposed,3
deposing,3
depositaries,1
depravation,1
depravd,1
deprave,1
depraved,1
depraves,1
depressd,1
deprivd,6
deprive,2
depth,7
depths,1
deputation,5
depute,1
deputed,1
deputies,1
deputing,1
deputy,24
deputys,1
deracinate,2
derby,31
derbys,1
dercetas,10
dere,3
derides,1
derision,5
derivation,1
derivative,4
derivd,13
derive,12
derived,4
derives,5
derogate,3
derogately,1
derogation,1
des,3
desartless,1
descant,3
descend,23
descended,13
descending,2
descends,9
descendsin,1
descension,1
descent,16
descents,1
describe,2
described,3
describes,2
descried,4
description,18
descriptions,1
descry,5
desdemon,3
desdemona,226
desdemonas,3
desert,44
deserts,21
deservd,39
deserve,65
deserved,19
deservedly,1
deserver,2
deservers,1
deserves,38
deservest,1
deserving,16
deservings,6
deservst,3
design,19
designd,1
designment,1
designments,1
designs,11
desird,22
desire,218
desired,10
desirers,1
desires,78
desirest,2
desiring,6
desirous,6
desirst,4
desist,2
desk,4
desolate,7
desolation,10
despair,54
despairing,6
despairs,1
despairsand,1
despatch,1
desperate,49
desperately,4
desperation,4
despisd,13
despise,18
despised,14
despiser,1
despiseth,2
despising,3
despite,53
despiteful,6
despitefulst,1
despoiled,1
desprate,10
desprately,1
destind,4
destined,1
destinies,4
destiny,20
destitute,1
destroy,22
destroyd,9
destroyed,2
destroyer,1
destroyers,1
destroying,3
destroys,2
destruction,28
destructions,1
det,1
detach,1
details,1
detain,8
detaind,4
detains,1
detect,4
detected,2
detecting,1
detection,1
detector,1
detects,1
detention,1
determinate,5
determination,6
determinations,1
determind,16
determine,26
determined,4
determines,3
detest,9
detestable,6
detested,16
detesting,1
detests,2
detract,2
detraction,3
detractions,1
deucalion,2
deuceace,1
deum,2
deux,2
devant,2
devesting,1
device,42
devices,6
devil,217
devilish,13
devilishholy,1
devilmonk,1
devilporter,1
devils,56
devilthere,1
devisd,15
devise,48
devised,6
devises,1
devising,1
devoid,1
devonshire,1
devote,1
devoted,6
devotion,18
devotions,1
devour,11
devourd,4
devoured,2
devourers,1
devouring,6
devours,2
devout,8
devoutly,3
dew,35
dewberries,1
dewdrop,1
dewdropping,1
dewdrops,1
dewlap,1
dewlappd,2
dews,7
dewy,1
dexter,1
dexteriously,1
dexterity,5
dhand,3
dhonneur,1
di,1
diable,4
diablo,1
diadem,13
dial,8
dialect,3
dialogue,7
dialogued,1
dials,6
diameter,1
diamond,14
diamonds,5
dian,14
diana,63
dianas,6
dians,6
diaper,1
dibble,1
dicd,1
dice,10
dicers,1
dich,1
dick,34
dickens,1
dickon,1
dicky,1
dictator,1
diction,1
dictynna,3
did,1626
didbut,1
didest,1
dido,11
didos,2
didst,183
didt,1
die,474
died,104
diedst,1
dies,102
diest,22
diesto,1
diet,18
dieted,5
dieter,1
dieu,12
differ,2
difference,37
differences,7
differency,1
different,14
differing,2
differs,4
difficile,1
difficult,1
difficulties,2
difficulty,3
diffidence,2
diffidences,1
diffrence,2
diffring,1
diffusd,2
diffused,1
diffusest,1
dig,10
digest,14
digested,6
digestion,6
digestions,2
diggd,8
digging,3
dighton,3
digit,1
digits,1
dignified,5
dignifies,3
dignify,2
dignities,14
dignity,37
digress,2
digressing,2
digression,2
digs,1
digt,1
digyouden,1
dilate,2
dilated,3
dilations,1
dilatory,2
dild,1
dildos,1
dilemma,1
dilemmas,1
diligence,9
diligent,6
diluculo,1
dim,14
dimension,2
dimensions,3
diminish,2
diminishd,1
diminishing,1
diminution,2
diminutive,2
diminutives,1
dimmd,5
dimmed,1
dimming,1
dimpled,3
dimples,1
dims,1
din,8
dind,15
dine,25
dined,2
diner,1
dines,2
ding,5
dingdong,1
diningchamber,1
diningchambers,1
dinner,87
dinners,4
dinnertime,5
dint,2
diomed,33
diomede,1
diomedes,86
diomedeswe,1
diomedfaith,1
diomeds,2
dion,12
dip,3
dippdst,1
dipping,1
dips,1
dire,17
direct,35
directed,13
directing,1
direction,22
directiongiver,1
directions,7
directitude,2
directive,1
directly,35
director,1
directories,1
directors,1
directory,1
directs,1
direful,7
direlamenting,1
direness,1
direst,1
dirge,1
dirges,1
dirst,1
dirt,10
dirtrotten,1
dirty,7
dis,1
disability,1
disable,2
disabled,3
disabling,1
disadvantage,2
disagree,1
disallow,1
disanimates,1
disannul,1
disannuls,1
disappointed,1
disarm,2
disarmed,1
disarmeth,1
disarms,3
disaster,5
disasters,4
disastrous,1
disbenchd,1
disbranch,1
disburdened,1
disbursd,1
disburse,1
disbursed,2
discandy,1
discandying,1
discard,3
discarded,6
discase,2
discased,1
discern,6
discernd,1
discerner,1
discerning,1
discernings,1
discerns,1
discernst,1
dischargd,13
discharge,31
discharged,4
discharging,1
discipled,1
disciples,1
disciplind,2
discipline,15
disciplined,1
disciplines,7
disclaim,3
disclaimd,1
disclaimer,4
disclaimers,3
disclaiming,2
disclaims,2
disclaimst,1
disclosd,6
disclose,4
disclosed,2
discloses,1
discolour,1
discolourd,1
discoloured,2
discolours,1
discomfit,1
discomfited,4
discomfiture,1
discomfort,8
discomfortable,1
discommend,1
disconsolate,1
discontent,15
discontented,13
discontentedly,1
discontenting,1
discontents,7
discontinue,2
discontinued,1
discord,16
discords,6
discourse,59
discoursed,2
discourser,1
discourses,4
discourtesy,1
discover,36
discoverd,8
discovered,9
discoverers,1
discoveries,3
discovering,2
discovers,6
discovery,12
discovry,1
discredit,5
discredited,2
discredits,1
discreet,7
discreetly,2
discretion,32
discretions,3
discuss,6
disdain,31
disdaind,7
disdained,1
disdaineth,2
disdainful,9
disdainfully,1
disdaining,4
disdains,6
disdainst,1
disdnguishd,1
diseasd,5
disease,29
diseased,4
diseasemy,1
diseases,22
disedgd,1
disembark,2
disfigure,5
disfigured,2
disfurnish,2
disgorge,3
disgracd,13
disgrace,48
disgraced,2
disgraceful,1
disgraces,6
disgracing,1
disgracious,2
disguisd,16
disguise,18
disguised,23
disguiser,1
disguises,2
disguising,2
dish,34
dishabited,1
dishclout,2
dishd,1
dishearten,1
disheartens,1
dishes,13
dishonest,11
dishonestly,2
dishonesty,4
dishonor,1
dishonorable,1
dishonors,1
dishonour,39
dishonourable,5
dishonourd,10
dishonoured,12
dishonours,3
dishorn,1
disinherit,3
disinherited,3
disje,1
disjoin,1
disjoind,1
disjoining,1
disjoins,1
disjoint,2
disjunction,1
disk,2
dislike,15
disliken,1
dislikes,3
dislikst,2
dislimns,1
dislocate,1
dislodgd,1
disloyal,12
disloyalty,2
dismal,19
dismalst,2
dismantle,2
dismantled,1
dismaskd,1
dismay,6
dismayd,9
dismayed,1
dismember,2
dismembred,1
dismes,1
dismiss,23
dismissd,8
dismissed,1
dismissing,1
dismission,2
dismount,3
dismounted,2
disnaturd,1
disobedience,8
disobedient,4
disobey,3
disobeys,1
disorbd,1
disorder,7
disorderd,5
disordered,2
disorderly,1
disorders,4
disparage,2
disparagement,2
disparagements,1
disparkd,1
dispatch,72
dispatchd,20
dispensation,2
dispense,8
dispenses,1
dispersd,11
disperse,11
dispersed,1
dispersedly,2
dispiteous,1
displacd,2
displace,2
displaced,1
displant,1
displanting,1
display,4
displayd,7
displayed,3
displaying,4
displays,1
displeasd,8
displease,4
displeased,1
displeasing,2
displeasure,40
displeasures,3
disponge,1
disport,2
disports,1
disposd,19
dispose,23
disposed,4
disposer,2
disposers,1
disposing,4
disposition,44
dispositions,6
dispossess,4
dispossessd,1
dispossessing,1
dispraisd,3
dispraise,10
dispraising,2
dispraisingly,1
dispropertied,1
disproportion,2
disproportiond,1
disproportioned,1
disprove,4
disproved,1
disprovst,1
dispursed,1
disputable,1
disputation,1
disputations,1
dispute,5
disputed,1
disputes,2
disputing,1
disquantity,1
disquiet,3
disquietly,1
disrelish,1
disrobe,3
diss,1
disseat,1
dissemble,11
dissembled,2
dissembler,2
dissemblers,1
dissembling,14
dissembly,1
dissension,9
dissensions,1
dissentious,4
dissever,2
disseverd,1
dissipation,1
dissolute,4
dissolutely,3
dissolution,3
dissolutions,1
dissolvd,4
dissolve,8
dissolved,2
dissolves,2
disstaind,1
dissuade,7
dissuaded,2
distaff,3
distaffs,1
distaffwomen,1
distain,1
distains,1
distance,27
distant,4
distaste,4
distasted,1
distasteful,1
distemper,10
distemperature,1
distemperatures,1
distemperd,6
distempered,4
distempering,1
distemprature,3
distempred,1
distil,4
distillation,2
distilld,8
distilled,5
distills,1
distilment,1
distinct,3
distinction,10
distinctly,7
distingue,1
distinguish,8
distinguishd,2
distinguishes,1
distinguishment,1
distract,10
distracted,15
distractedly,2
distraction,12
distractions,2
distracts,1
distraind,2
distraught,2
distress,14
distressd,5
distressed,8
distresses,2
distressful,4
distribute,11
distributed,447
distributing,7
distribution,230
distributor,1
distrust,6
distrustful,1
disturb,10
disturbd,7
disturbed,2
disturbers,2
disturbing,1
disunite,1
disvalued,1
disvouchd,1
dit,1
ditch,7
ditchd,1
ditchdeliverd,1
ditchdog,1
ditchers,1
ditches,2
ditesmoi,2
ditil,4
ditties,2
ditty,4
diurnal,1
divd,1
dive,7
diver,1
divers,22
diverscolourd,1
diversely,1
diversity,1
divert,3
diverted,3
diverts,1
dives,2
divest,2
dividable,1
dividant,1
divide,27
divided,19
divides,3
divideth,1
divin,1
divination,3
divine,49
divinely,2
divineness,1
diviner,1
divines,4
divinest,2
divining,3
divinity,9
division,21
divisions,4
divorcd,4
divorce,21
divorced,2
divorcement,1
divulgd,1
divulge,1
divulged,2
divulging,1
dizy,1
dizzy,2
dizzyeyd,1
do,3767
doat,1
doating,1
dobbin,1
dobbins,1
dockd,1
docks,2
docome,1
doct,8
doctor,109
doctorlike,1
doctors,10
doctrine,8
document,1
dodge,1
doe,7
doer,1
doers,6
does,326
doest,3
doff,6
dog,193
dogapes,1
dogberry,8
dogdays,1
dogfish,1
dogfox,1
doggd,5
dogged,3
doghearted,1
doghole,1
dogs,51
dogweary,1
doigts,5
doing,69
doings,5
doit,8
doits,1
dolabella,39
dole,9
doleful,5
doll,51
dollar,1
dollars,1
dolor,1
dolorous,1
dolour,4
dolours,4
dolphin,5
dolphinlike,1
dolphins,2
dolt,1
dolts,1
domain,12
domestic,8
domestics,1
dominations,1
dominator,3
domine,2
domineer,1
domineering,1
dominical,1
dominion,1
dominions,7
domitius,3
dommelton,1
don,48
donalbain,16
donate,3
donation,5
donations,15
donc,1
doncaster,2
done,650
doneas,1
donet,12
dong,2
donnd,2
donne,1
donner,1
donnerai,1
donors,1
dont,1
doom,49
doomd,5
dooms,1
doomsday,11
door,144
doorkeeper,1
doornail,1
doors,62
dorcas,15
doreus,1
doricles,4
dormouse,1
dorothy,3
dorset,32
dorsetshire,1
dos,1
dost,429
dot,74
dotage,10
dotant,1
dotard,3
dotards,1
dote,29
doted,1
doters,1
dotes,8
doteth,1
doth,939
dothyea,1
doting,12
double,80
doublecharge,1
doubled,6
doubledamnd,1
doubledealer,2
doubledealing,1
doublefatal,1
doublehornd,1
doublemeaning,1
doubleness,1
doubler,1
doublet,25
doublets,4
doublevantage,1
doubling,2
doubly,8
doubt,172
doubted,8
doubtful,23
doubtfully,4
doubting,7
doubtless,9
doubts,11
doubtst,1
doug,19
dough,2
doughtyhanded,1
doughy,1
douglas,41
dout,3
doute,1
douts,1
dove,20
dovecote,1
dovedrawn,1
dovefeatherd,1
dovehouse,2
dover,17
doves,9
dowager,6
dowdy,1
dower,12
dowerless,1
dowers,2
dowlas,2
dowle,1
down,654
downfall,6
downfalln,1
downgyved,1
download,223
downloading,1
downrased,1
downright,11
downroping,1
downs,1
downstairs,1
downtrod,1
downtrodden,1
downward,5
downwards,1
downy,4
dowr,3
dowrd,1
dowries,1
dowrless,1
dowry,22
dowsabel,1
doxy,1
dozed,1
dozen,32
dozens,1
dozy,1
dr,2
drab,8
drabbing,1
drabs,1
drachma,1
drachmas,2
draff,2
drag,10
draggd,2
dragged,1
dragging,2
dragon,8
dragonish,1
dragonlike,1
dragons,7
drain,4
drained,2
drains,1
dram,16
dramatis,36
drank,2
draught,9
draughts,3
drave,4
draw,207
drawbridge,1
drawer,15
drawers,6
draweth,2
drawing,11
drawling,1
drawn,85
drawnthere,1
draws,48
drawst,2
drayman,1
draymen,1
dread,47
dreadbolted,1
dreaded,5
dreadful,59
dreadfully,2
dreading,3
dreads,2
dreadthat,1
dream,119
dreamd,10
dreamer,3
dreamers,1
dreaming,8
dreams,46
dreamst,3
dreamt,19
drearning,1
dreary,1
dreg,1
dregs,7
drench,5
drenchd,3
drenched,1
dress,21
dressd,14
dressed,6
dresser,1
dressing,1
dressings,2
drest,1
drew,34
drewst,1
dribbling,1
dried,15
drier,2
dries,3
drift,19
drily,1
drink,154
drinketh,2
drinking,26
drinkings,1
drinks,28
drinkst,2
drive,34
drivelling,1
driven,14
drives,14
driveth,2
driving,7
drivst,1
drizzle,1
drizzled,2
drizzles,1
droit,1
drollery,2
dromio,223
dromios,1
drone,3
drones,2
droop,6
droopd,1
droopeth,1
drooping,10
droops,3
drop,75
dropheir,1
droplets,1
droppd,14
droppeth,1
dropping,5
droppings,1
drops,52
dropsied,1
dropsies,1
dropsy,1
dropt,1
dross,5
drossy,1
drought,1
drove,7
droven,1
drovier,1
drown,43
drownd,45
drowned,6
drowning,9
drowns,5
drowsd,1
drowse,1
drowsily,1
drowsiness,1
drowsy,17
drudge,7
drudgery,1
drudges,2
drug,5
drugdamnd,1
druggd,1
drugs,11
drum,110
drumble,1
drummer,1
drumming,1
drums,42
drunk,68
drunkard,12
drunkards,7
drunken,19
drunkenly,2
drunkenness,4
drunkst,1
dry,65
drybeat,2
drybeaten,1
dryfoot,1
dryness,1
du,3
dub,3
dubbd,4
ducat,6
ducats,53
ducdame,4
duchess,141
duchies,1
duchy,2
duck,10
ducks,3
dudgeon,1
due,76
duellist,2
duello,2
duer,1
dues,6
duff,1
dug,6
dugs,3
duke,1071
dukedom,24
dukedoms,8
dukes,80
dulcet,6
dulche,1
dull,109
dullard,2
dullas,1
dullbraind,1
dulld,1
duller,5
dullest,3
dulleyd,1
dulling,2
dullness,4
dulls,1
dully,3
dulness,2
duly,8
dumain,76
dumb,40
dumbd,1
dumbdiscoursive,1
dumbe,1
dumbly,2
dumbness,5
dumbshow,1
dump,3
dumps,4
dun,5
duncan,37
duncans,3
dune,1
dungeon,8
dungeons,2
dunghill,10
dunghills,2
dungy,2
dunnest,1
duns,1
dunsinane,15
dunsmore,1
dunstable,1
duppd,1
durance,7
during,17
durst,51
duser,1
dusky,6
dust,59
dusty,2
dutch,3
dutchman,4
dutchmans,1
duteous,11
duties,20
dutiful,2
duty,151
dutys,1
dwarf,4
dwarfish,5
dwell,39
dwellers,1
dwelling,10
dwellinghouse,1
dwellingplace,1
dwellingplaces,1
dwells,17
dwellst,2
dwelt,2
dwindle,2
dyd,3
dye,5
dyed,3
dyers,1
dying,46
e,4
each,240
eager,9
eagerly,3
eagerness,1
eagle,22
eagles,12
eaglesighted,1
eaglewinged,1
eaning,1
eanlings,1
ear,191
eardeafning,1
earing,1
earkissing,1
earl,153
earldom,5
earlier,1
earliest,3
earliness,1
earls,13
early,50
earn,8
earnd,5
earned,2
earnest,37
earnestgaping,1
earnestly,9
earnestness,4
earns,1
earpiercing,1
ears,156
earsfor,1
earth,300
earthbound,1
earthd,1
earthen,1
earthlier,1
earthly,32
earthquake,6
earthquakes,1
earths,12
earthtreading,1
earthvexing,1
earthwhy,1
earthy,5
earthygross,1
earwax,1
easd,2
ease,54
eased,2
easeful,1
eases,1
easier,9
easiest,1
easiliest,1
easily,29
easiness,3
easing,2
easly,2
east,39
eastcheap,15
easter,1
eastern,6
eastward,1
easy,63
easyborrowed,1
easyheld,1
easymelting,1
eat,142
eaten,19
eater,2
eating,13
eats,21
eaux,1
eaves,2
eavesdropper,1
ebb,15
ebbd,2
ebbing,2
ebbs,3
ebcdic,1
ebon,1
eboncoloured,1
ebony,3
ebook,16
ebooks,14
ebrew,1
ecce,1
echo,10
echoes,2
eclipsd,2
eclipse,5
eclipses,5
ecolier,1
ecoutez,3
ecstacy,1
ecstasies,1
ecstasy,13
ecus,2
eden,1
edg,98
edgar,37
edge,41
edged,2
edgeits,1
edgeless,2
edges,3
edict,7
edicts,2
edifice,2
edifices,1
edified,3
edifies,1
edition,2
editions,5
edm,79
edmund,71
edmunds,3
edmundsbury,3
educate,1
education,9
educational,1
edward,318
edwardno,1
edwards,54
eel,4
eels,1
eelskin,1
eelskins,1
een,35
eer,79
effect,72
effected,9
effectless,1
effects,27
effectual,4
effectually,2
effeminate,7
effigies,1
effort,2
efforts,3
effusd,1
effuse,1
effusion,4
eftest,1
egal,1
egally,1
eget,1
egeus,17
egg,15
eggs,7
eggshell,1
eggshells,1
eglamour,22
eglantine,2
egma,1
ego,1
egregious,4
egregiously,1
egress,1
egypt,46
egyptian,14
egyptians,3
egypts,3
eie,1
eight,36
eighteen,6
eighth,6
eightpenny,1
eightwhich,1
eighty,1
eightyearold,1
